,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
819,CHEMBL402293,CC(C)O/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,active,419.46400000000017,4.0984000000000025,2.0,8.0,7.6020599913279625
820,CHEMBL430031,CC(C)CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,active,433.49100000000016,4.346000000000003,2.0,8.0,6.761953896871205
821,CHEMBL402294,CCO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1,active,405.4370000000001,3.709900000000002,2.0,8.0,8.154901959985743
822,CHEMBL256295,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/O,active,377.38300000000004,3.1476000000000015,3.0,8.0,7.376750709602099
823,CHEMBL256297,CO/N=C/c1c(N)ncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,active,401.82900000000006,4.154200000000002,2.0,7.0,7.7447274948966935
824,CHEMBL257815,CO/N=C/c1c(N)ncnc1Nc1ccc(OCc2ccccc2)c(Cl)c1,active,383.83900000000006,4.015100000000002,2.0,7.0,6.815308569182402
826,CHEMBL402316,CO/N=C/c1c(N)ncnc1Nc1ccc2[nH]c(Cc3cccc(F)c3)nc2c1,active,391.41000000000014,3.3889000000000022,3.0,7.0,7.119186407719209
827,CHEMBL257816,CO/N=C/c1c(N)ncnc1Nc1ccc2c(ccn2Cc2cccc(F)c2)c1,active,390.42200000000014,3.924800000000002,2.0,7.0,7.568636235841013
828,CHEMBL256527,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2ccc(F)cc2)c1,active,391.41000000000014,3.3198000000000025,2.0,8.0,6.723538195826756
829,CHEMBL255865,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(C#N)c2)c1,active,398.4300000000002,3.052380000000002,2.0,9.0,7.356547323513812
830,CHEMBL255656,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(Cl)c2)c1,active,407.8650000000001,3.834100000000002,2.0,8.0,7.522878745280337
831,CHEMBL402113,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2ccccc2)c1,active,373.42000000000013,3.1807000000000016,2.0,8.0,7.657577319177793
832,CHEMBL255866,CO/N=C/c1c(N)ncnc1Nc1ccc2[nH]ncc2c1,inactive,283.2950000000001,1.659,3.0,7.0,5.384786665198641
833,CHEMBL255291,CO/N=C/c1c(N)ncnc1NCc1ccc(F)c(Cl)c1,inactive,309.73199999999997,2.4437000000000006,2.0,6.0,5.282329496997738
836,CHEMBL472545,Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1-c1nnc(CCN2CCOCC2)o1,active,507.9820000000004,3.959500000000003,2.0,10.0,7.096910013008056
837,CHEMBL472544,Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1C(=O)NNC(=O)CCN1CCOCC1,inactive,525.9970000000003,2.5181000000000004,4.0,9.0,5.2441251443275085
838,CHEMBL511478,NNC(=O)c1c(N)ncnc1Nc1ccc(OCc2ccccc2)c(Cl)c1,active,384.8270000000001,2.6383,4.0,7.0,6.835647144215563
840,CHEMBL472383,COc1ccc(NC(=O)c2c(N)ncnc2Nc2ccc(OCc3ccccc3)c(Cl)c2)cc1,inactive,475.93600000000015,5.295700000000004,3.0,7.0,4.0
841,CHEMBL472382,Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1C(=O)OCc1cccc(F)c1,inactive,478.91100000000023,5.5309000000000035,2.0,7.0,4.0
842,CHEMBL452727,CCN(CC)C(=O)c1c(N)ncnc1Nc1ccc(OCc2ccccc2)c(Cl)c1,inactive,425.9200000000002,4.516800000000003,2.0,6.0,4.0
843,CHEMBL517745,COCCNC(=O)c1c(N)ncnc1Nc1ccc(OCc2ccccc2)c(Cl)c1,inactive,427.89200000000017,3.4110000000000014,3.0,7.0,4.0
844,CHEMBL461115,COc1ccc(CCNC(=O)c2c(N)ncnc2Nc2ccc(OCc3ccccc3)c(Cl)c2)cc1,inactive,503.99000000000024,5.015900000000003,3.0,7.0,4.0
845,CHEMBL518646,Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1C(=O)NCCN1CCOCC1,inactive,482.9720000000004,3.0968000000000018,3.0,8.0,5.0
846,CHEMBL462343,Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1C(=O)NCCN1CCCCC1,inactive,481.0000000000004,4.250500000000003,3.0,7.0,5.0
849,CHEMBL516487,COC(=O)c1c(N)ncnc1Nc1ccc(OCc2ccccc2)c(Cl)c1,active,384.8230000000001,3.8214000000000015,2.0,7.0,7.0
851,CHEMBL461426,NC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,538.0040000000001,4.983700000000003,3.0,8.0,7.795880017344075
852,CHEMBL466586,CNC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,552.0310000000001,5.244400000000003,3.0,8.0,7.698970004336019
853,CHEMBL512076,CCNC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,566.0580000000001,5.634500000000004,3.0,8.0,7.366531544420414
854,CHEMBL517123,CN(C)C(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,566.0580000000001,5.586600000000003,2.0,8.0,7.167491087293763
855,CHEMBL517585,CCN(C)C(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,active,580.0850000000002,5.976700000000005,2.0,8.0,7.494850021680094
856,CHEMBL507329,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,active,608.0949999999999,5.357200000000005,2.0,9.0,7.075720713938118
857,CHEMBL499534,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCNCC1,active,607.1109999999999,4.930200000000005,3.0,9.0,7.698970004336019
